label,var0,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47,var48,var49,var50,var51,var52,var53,var54,var55,var56,var57,var58,var59,var60,var61,var62,var63,var64,var65,var66,var67,var68,var69,var70,var71,var72,var73,var74,var75,var76,var77,var78,var79,var80,var81,var82,var83,var84,var85,var86,var87,var88,var89,var90,var91,var92,var93,var94,var95,var96,var97,var98,var99,var100,var101,var102,var103,var104,var105,var106,var107,var108,var109,var110,var111,var112,var113,var114,var115,var116,var117,var118,var119,var120,var121,var122,var123,var124,var125,var126,var127,var128,var129,var130,var131,var132,var133,var134,var135,var136,var137,var138,var139,var140,var141,var142,var143,var144,var145,var146,var147,var148,var149,var150,var151,var152,var153,var154,var155,var156,var157,var158,var159,var160,var161,var162,var163,var164,var165,var166,var167,var168,var169,var170,var171,var172,var173,var174,var175,var176,var177,var178,var179,var180,var181,var182,var183,var184,var185,var186,var187,var188,var189,var190,var191,var192,var193,var194,var195,var196,var197,var198,var199,var200,var201,var202,var203,var204,var205,var206,var207,var208,var209,var210,var211,var212,var213,var214,var215,var216,var217,var218,var219,var220,var221,var222,var223,var224,var225,var226,var227,var228,var229,var230,var231,var232,var233,var234,var235,var236,var237,var238,var239,var240,var241,var242,var243,var244,var245,var246,var247,var248,var249,var250,var251,var252,var253,var254,var255,var256,var257,var258,var259,var260,var261
Suff Daddy,264, 0, 100, 100, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200, 0, 0, 0, 102, 0, 0, 0, 100, 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 200, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 124, 0, 212, 0, 0, 204, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 386, 584, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 200, 0, 0, 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200, 0, 200, 0, 0, 0, 0, 200, 200, 0, 0, 0, 204, 0, 246, 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 200, 0, 0, 0, 0, 100, 0, 0, 0, 214, 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 0
KAAS,0, 710, 100, 200, 0, 0, 0, 200, 100, 100, 0, 0, 0, 0, 2, 0, 0, 100, 0, 0, 0, 200, 212, 550, 162, 0, 0, 60, 148, 0, 230, 0, 0, 0, 116, 0, 100, 222, 148, 200, 132, 100, 0, 0, 290, 0, 0, 100, 268, 0, 0, 200, 0, 100, 100, 100, 100, 100, 100, 350, 0, 104, 0, 0, 0, 100, 0, 0, 0, 0, 142, 0, 100, 0, 0, 0, 150, 130, 106, 0, 100, 442, 200, 0, 0, 290, 384, 208, 100, 0, 0, 0, 100, 0, 100, 260, 6, 212, 0, 100, 0, 70, 0, 100, 0, 0, 100, 0, 260, 100, 222, 0, 0, 100, 0, 0, 420, 4, 100, 0, 0, 0, 204, 0, 0, 0, 0, 102, 0, 0, 200, 200, 100, 0, 0, 0, 0, 0, 0, 200, 0, 0, 0, 100, 0, 0, 0, 0, 0, 480, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 100, 100, 0, 100, 0, 0, 100, 100, 0, 0, 100, 0, 100, 100, 200, 100, 0, 100, 0, 0, 0, 0, 0, 0, 0, 200, 0, 0, 0, 0, 238, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 100, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 100, 0, 0, 0, 100, 0, 100, 0, 100, 0, 0, 100, 0, 0, 0, 0, 0, 0
ToxikKargoll,100, 100, 410, 200, 0, 0, 0, 0, 236, 754, 0, 0, 0, 0, 0, 102, 78, 160, 0, 0, 0, 0, 240, 100, 200, 0, 0, 200, 0, 0, 100, 20, 224, 206, 0, 0, 202, 100, 0, 166, 100, 246, 448, 0, 266, 224, 100, 0, 0, 0, 0, 100, 10, 0, 0, 100, 200, 100, 200, 0, 100, 442, 100, 0, 424, 0, 0, 100, 200, 0, 10, 0, 100, 0, 104, 0, 200, 0, 100, 148, 0, 6, 214, 200, 244, 100, 100, 100, 10, 0, 200, 0, 0, 0, 102, 142, 2, 0, -30, 100, 0, 0, 0, 0, 100, 110, 100, 100, 198, 122, 178, 110, 0, 0, 0, 224, 100, 286, 100, 4, 100, 0, 0, 0, 104, 100, 0, 106, 0, 100, 100, 416, 200, 0, 352, 0, 102, 0, 0, 0, 0, 186, 0, 102, 100, 212, 106, 286, 0, 0, 200, 240, 12, 0, 0, 100, 2, 0, 36, 100, 0, 0, 100, 0, 0, 0, 138, 100, 192, 558, 0, 102, 0, 0, 0, 0, 0, 272, 100, 0, 0, 100, 0, 0, 0, 236, 860, 204, 0, 102, 0, 224, 0, 2, 0, 44, 258, 0, 0, 144, 322, 0, 0, 150, 104, 0, 222, 118, 114, 202, 2, 0, 206, 100, 0, 200, 0, 100, 0, 0, 100, 0, 0, 102, 0, 100, 0, 100, 0, 100, 0, 200, 100, 0, 100, 0, 0, 0, 0, 0, 200, 0, 100, 0, 0, 0, 0, 0, 0, 100, 0, 0, 100, 0, 0, 100, 0, 104, 4, 0, 0, 0
Donni (SW Blog),100, 200, 200, 24, 0, 0, 100, 200, 100, 0, 100, 100, 0, 0, 100, 0, 100, 200, 0, 0, 100, 100, 200, 464, 100, 200, 0, 0, 100, 0, 100, 102, 0, 0, 484, 0, 100, 200, 100, 0, 212, 0, 0, 100, 100, 200, 100, 100, 100, 100, 0, 0, 0, 0, 0, 100, 200, 100, 0, 200, 100, 0, 0, 2, 100, 200, 0, 0, 100, 0, 172, 0, 100, 0, 100, 100, 0, 250, 100, 216, 0, 100, 0, 0, 0, 100, 200, 200, 100, 0, 0, 100, 288, 0, 0, 200, 100, 100, 0, 100, 0, 42, 100, 100, 0, 0, 0, 100, 204, 100, 100, 0, 100, 0, 0, 66, 200, 0, 100, 0, 290, 0, 100, 0, 0, 100, 0, 254, 100, 0, 202, 104, 100, 0, 100, 0, 100, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0, 0, 0, 226, 100, 0, 0, 44, 0, 0, 122, 100, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 102, 102, 0, 100, 108, 66, 200, 0, 0, 100, 100, 0, 100, 0, 200, 100, 0, 100, 0, 200, 0, 0, 0, 0, 0, 200, 0, 0, 0, 0, 2, 200, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 100, 0, 0, 0, 0
Mr. Carter,0, 0, 0, 0, 136, 0, 0, 100, 100, 0, 0, 0, 0, 100, 100, 100, 0, 0, 100, 0, 0, 100, 100, 0, 0, 100, 100, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 100, 0, 0, 100, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 100, 0, 100, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Young Gunner,0, 0, 0, 0, 0, 320, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Samy Deluxe,0, 0, 0, 100, 0, 0, 30, 0, 100, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 100, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 100, 0, 0, 0, 0, 100, 0, 0, 0, 100, 100, 0, 0, 200, 0, 100, 0, 0, 0, 0, 100, 200, 0, 0, 200, 108, 0, 100, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 100, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 200, 0, 0, 200, 0, 100, 0, 100, 0, 0, 0, 0, 0, 0, 100, 0, 100, 0, 100, 100, 0, 100, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 200, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 100, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 100, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
LARY,0, 202, 0, 200, 100, 0, 0, 512, 100, 0, 0, 0, 0, 0, 200, 0, 0, 0, 0, 0, 100, 0, 212, 224, 202, 100, 0, 0, 0, 0, 0, 100, 100, 0, 200, 0, 0, 212, 0, 100, 212, 100, 100, 0, 0, 0, 0, 0, 0, 0, 0, 238, 0, 0, 0, 0, 0, 224, 100, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 100, 224, 100, 0, 0, 0, 0, 0, 100, 244, 204, 200, 0, 0, 0, 0, 226, 0, 0, 100, 100, 258, 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 244, 0, 100, 208, 0, 0, 0, 100, 204, 0, 0, 0, 112, 0, 100, 0, 0, 0, 200, 100, 0, 0, 100, 948, 0, 0, 0, 0, 100, 0, 0, 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 264, 100, 200, 2, 0, 0, 0, 0, 104, 100, 0, 0, 0, 0, 200, 244, 0, 204, 130, 0, 0, 104, 108, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 222, 0, 204, 112, 0, 100, 200, 100, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0
Rooq,100, 100, 202, 100, 100, 100, 100, 100, 336, 46, 0, 0, 0, 6, 100, 0, 100, 392, 100, 0, 100, 100, 124, 54, 100, 200, 0, 166, 0, 82, 0, 100, 224, 38, 100, 0, 200, 224, 100, 202, 0, 100, 564, 100, 304, 200, 100, 106, 124, 100, 0, 32, 124, 0, 0, 100, 2, 100, 0, 200, 100, 102, 100, 0, 140, 0, 0, 0, 0, 0, 100, 0, 180, 124, 100, 0, 0, 112, 100, 0, 0, 262, 100, 0, 0, 100, 100, 100, 100, 0, 100, 0, 160, 0, 102, 124, 100, 100, 100, 0, 0, 100, 0, 100, 100, 0, 0, 100, 100, 106, 150, 100, 100, 100, 100, 340, 100, 374, 102, 0, 0, 0, 100, 0, 290, 100, 0, 100, 0, 0, 0, 226, 64, 0, 0, 0, 0, 0, 0, 92, 0, 108, 152, 266, 100, 0, 112, 476, 0, 100, 0, 100, 0, 0, 0, 2, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 130, 278, 4, 110, 100, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 104, 280, 0, 100, 0, 324, 484, 0, 136, 0, 100, 180, 0, 0, 224, 0, 0, 0, 200, 0, 100, 356, 104, 0, 200, 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 12, 0, 0, 204, 0, 0, 0, 110, 0, 200, 0, 206, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 100, 264, 6, 0, 0, 0, 100, 100, 216, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0
Rooz Lee,0, 100, 202, 0, 0, 0, 0, 0, 0, 962, 0, 0, 0, 0, 0, 0, 210, 100, 0, 0, 0, 0, 100, 100, 0, 0, 0, 100, 100, 0, 0, 100, 8, 0, 0, 0, 0, 200, 100, 0, 0, 252, 0, 0, 200, 202, 202, 0, 0, 0, 0, 148, 0, 0, 200, 0, 200, 200, 0, 0, 202, 244, 218, 0, 202, 0, 0, 100, 0, 0, 330, 0, 0, 0, 100, 200, 0, 0, 0, 100, 0, 120, 200, 0, 100, 0, 0, 100, 244, 200, 100, 0, 204, 0, 0, 100, 0, 208, 200, 0, 0, 110, 0, 0, 100, 0, 0, 0, 202, 200, 200, 200, 0, 0, 0, 100, 100, 200, 0, 0, 100, 0, 100, 0, 0, 0, 0, 102, 0, 0, 0, 208, 100, 0, 560, 0, 0, 200, 0, 100, 0, 100, 0, 100, 200, 0, 152, 288, 0, 124, 100, 100, 0, 0, 100, 0, 104, 0, 0, 0, 0, 0, 0, 100, 100, 100, 102, 0, 200, 0, 0, 100, 100, 4, 0, 100, 0, 100, 100, 100, 0, 100, 106, 0, 0, 100, 362, 100, 0, 0, 0, 202, 0, 0, 0, 0, 202, 4, 0, 100, 270, 302, 0, 0, 100, 100, -2, 0, 0, 0, 0, 0, 0, 100, 0, 200, 0, 0, 114, 0, 4, 0, 100, 0, 0, 100, 0, 100, 0, 106, 0, 100, 0, 0, 100, 0, 0, 0, 0, 0, 200, 0, 0, 0, 0, 0, 100, 100, 0, 100, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0
